Vorgangstyp,Vorgangsschlüssel:,Vorgangs ID,Übergeordnete ID,Zusammenfassung,Bearbeiter,Autor,Priorität,Status,Lösung,Erstellt,Aktualisiert,Fälligkeitsdatum,Komponente(n),Benötigte Zeit,Benötigte Zeit in Stunden
Unteraufgabe,PROJ-75,11602,11500,Skillsystem Steuerlogik,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,03/Jul/17 12:16 PM,03/Jul/17 4:14 PM,,Programmierung,25200,"7,00"
Unteraufgabe,PROJ-74,11601,11500,Skillsystem Prefab/Optik,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,03/Jul/17 12:16 PM,03/Jul/17 4:14 PM,,Programmierung,25200,"7,00"
Story,PROJ-72,11500,,Skillsystem,frankam,frankam,Medium,Geschlossen,Fertig,21/Jun/17 5:12 PM,03/Jul/17 4:13 PM,,Programmierung,46800,"13,00"
Aufgabe,PROJ-65,10910,,Balancing des Spiels,jasmin-stern,jasmin-stern,Highest,Geschlossen,Fertig,18/Mai/17 3:30 PM,03/Jul/17 1:20 PM,,Programmierung,,"0,00"
Aufgabe,PROJ-64,10909,,Spiel in VR bringen,jasmin-stern,jasmin-stern,Low,Offen,,18/Mai/17 3:06 PM,14/Jun/17 11:10 AM,,Programmierung,,"0,00"
Aufgabe,PROJ-63,10908,,Random Module beim GameManager einbauen,jasmin-stern,jasmin-stern,Highest,Geschlossen,Fertig,18/Mai/17 2:55 PM,19/Mai/17 12:22 AM,,Programmierung,1800,"0,50"
Unteraufgabe,PROJ-62,10907,10902,Unsterblichkeit einbauen (GodMode),jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,18/Mai/17 2:42 PM,26/Mai/17 5:38 PM,,Programmierung,3600,"1,00"
Unteraufgabe,PROJ-61,10906,10902,Energielevel des Players anzeigen (GoodMode),jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,18/Mai/17 2:40 PM,26/Mai/17 5:39 PM,,Programmierung,2700,"0,75"
Unteraufgabe,PROJ-60,10905,10902,Neue Lichtquelle zum debuggen einbauen (GodMode),jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,18/Mai/17 2:36 PM,03/Jul/17 1:21 PM,,Programmierung,,"0,00"
Unteraufgabe,PROJ-59,10904,10902,Gegner spawnen lassen (GodMode),jasmin-stern,jasmin-stern,Medium,Offen,,18/Mai/17 2:25 PM,03/Jul/17 4:10 PM,,Programmierung,,"0,00"
Unteraufgabe,PROJ-58,10903,10902,Grundaufbau erstellen (GodMode),jasmin-stern,jasmin-stern,Highest,Geschlossen,Fertig,18/Mai/17 2:22 PM,03/Jul/17 4:10 PM,,Programmierung,5400,"1,50"
Story,PROJ-57,10902,,GodMode einbauen,jasmin-stern,jasmin-stern,Highest,Erneut geöffnet,,18/Mai/17 2:17 PM,15/Jun/17 9:04 AM,,Programmierung,14400,"4,00"
Aufgabe,PROJ-54,10805,,Spieler Energie Managment,jasmin-stern,frankam,Medium,Geschlossen,Fertig,04/Mai/17 4:32 PM,03/Jul/17 4:00 PM,,Programmierung,18000,"5,00"
Aufgabe,PROJ-49,10800,,Sounds einbauen,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,02/Mai/17 2:10 PM,14/Jun/17 4:23 PM,,Programmierung,19800,"5,50"
Aufgabe,PROJ-48,10700,,Gegner sterben lassen,frankam,frankam,Medium,Geschlossen,Fertig,27/Apr/17 4:41 PM,03/Jul/17 1:23 PM,,Programmierung,19800,"5,50"
Unteraufgabe,PROJ-46,10600,10208,Level exportieren nach Unity,frankam,jasmin-stern,Medium,Geschlossen,Fertig,18/Apr/17 3:43 PM,14/Jun/17 11:10 AM,,Programmierung,241200,"67,00"
Aufgabe,PROJ-43,10401,,GitHub mit Jira verbinden,jasmin-stern,jasmin-stern,High,Geschlossen,Fertig,06/Apr/17 4:28 PM,14/Jun/17 11:19 AM,,Programmierung,,"0,00"
Aufgabe,PROJ-37,10221,,Highscore erstellen,,jasmin-stern,Low,Geschlossen,Fertig,04/Apr/17 5:44 PM,14/Jun/17 11:19 AM,,Programmierung,,"0,00"
Aufgabe,PROJ-36,10220,,Tutorial erstellen,frankam,jasmin-stern,Medium,Offen,,04/Apr/17 3:16 PM,14/Jun/17 11:24 AM,,Programmierung,,"0,00"
Aufgabe,PROJ-35,10219,,Endbildschirm erstellen,jasmin-stern,jasmin-stern,Low,Geschlossen,Fertig,04/Apr/17 3:16 PM,03/Jul/17 3:55 PM,,Programmierung,10800,"3,00"
Aufgabe,PROJ-34,10218,,Startbildschirm erstellen,Sebastian Matthiesen,jasmin-stern,Low,Geschlossen,Fertig,04/Apr/17 3:15 PM,03/Jul/17 3:55 PM,,Programmierung,10800,"3,00"
Aufgabe,PROJ-33,10217,,Karte anzeigen lassen ,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:15 PM,03/Jul/17 1:26 PM,,Programmierung,93600,"26,00"
Aufgabe,PROJ-32,10216,,Energieanzeige programmieren,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:15 PM,03/Jul/17 1:21 PM,,Programmierung,3600,"1,00"
Aufgabe,PROJ-31,10215,,Spieler schießen lassen,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:14 PM,14/Jun/17 11:10 AM,,Programmierung,32400,"9,00"
Aufgabe,PROJ-29,10213,,Energiekapseln einsammeln können,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:12 PM,14/Jun/17 11:10 AM,,Programmierung,18000,"5,00"
Aufgabe,PROJ-28,10212,,Wegfindung Gegner,jasmin-stern,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:11 PM,14/Jun/17 11:34 AM,,Programmierung,16200,"4,50"
Aufgabe,PROJ-26,10210,,Startscreen einbauen,,jasmin-stern,Low,Geschlossen,Fertig,04/Apr/17 3:08 PM,14/Jun/17 11:21 AM,,Programmierung,,"0,00"
Aufgabe,PROJ-25,10209,,GUI einbauen,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:08 PM,03/Jul/17 3:53 PM,,Programmierung,,"0,00"
Aufgabe,PROJ-21,10205,,Spielersteuerung,frankam,jasmin-stern,High,Geschlossen,Fertig,04/Apr/17 3:04 PM,03/Jul/17 12:25 PM,,Programmierung,23400,"6,50"
Aufgabe,PROJ-20,10204,,Gegner einbauen,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:03 PM,19/Apr/17 5:22 PM,,Programmierung,18000,"5,00"
Story,PROJ-19,10203,,Lichtansichten für den Spieler einbauen,frankam,jasmin-stern,Medium,Geschlossen,Fertig,04/Apr/17 3:00 PM,03/Jul/17 3:50 PM,,Programmierung,14400,"4,00"
Aufgabe,PROJ-18,10202,,Lichtkonzept umsetzen,jasmin-stern,jasmin-stern,Highest,Geschlossen,Fertig,04/Apr/17 2:59 PM,03/Jul/17 3:50 PM,,Programmierung,10800,"3,00"
Aufgabe,PROJ-12,10108,,Licht des Spielers im Raum erleuchten lassen,frankam,jasmin-stern,High,Geschlossen,Fertig,30/Mär/17 11:27 AM,07/Apr/17 1:55 PM,,Programmierung,8400,"2,33"
Aufgabe,PROJ-3,10002,,Erstellen einer Szene,frankam,jasmin-stern,Highest,Geschlossen,Fertig,29/Mär/17 7:23 PM,03/Jul/17 3:46 PM,,Programmierung,18000,"5,00"
,,,,,,,,,,,,,,812700,"225,75"
